Question,Average Cosine Similarity,Correct (>=0.85),GroundTruths,RetrievedResults,TopURLs,Source
How does TRAVA.FINANCE incentivize validators to update the knowledge graph?,0,False,"['Validators must update the knowledge graph regularly, otherwise, they will be stripped of their validator role, and cannot earn rewards for appending new blocks or verifying transactions.” “Each time enriching the knowledge graph, validators will gain the fame score, thereby gaining more priorities and indirectly having the opportunity to earn more TRAVA.FINANCE coins when joining the network.” “Priorities may include voting power or the privilege to unlock TRAVA.FINANCE tokens earlier than the standard time when receiving awards. ']",[],[],['https://docs.trava.finance/whitepaper/cross-chain-knowledge-graph']
What steps does a user need to take to prove ownership of multiple wallet addresses?,0,False,"['To foster their DeFi transactions, they might need to prove that they are the owner of n addresses. To this end, they can use our wallet application to perform a transaction that activates the cross-chain identification protocol.” “Users can add a new account to the wallet application in multiple ways, e.g., (i) create an account, (ii) import a private key, and (iii) connect to a hardware wallet.” “The wallet uses the Merkle tree to hash the data and obtains the rootHash (32 bytes) rootHash := MerkleTree([data1,data2,data3]).getRoot().” “The user then uses her 3 private keys to sign on the rootHash. Each signing creates a signature, named si (64 bytes). ']",[],[],['https://docs.trava.finance/whitepaper/cross-chain-knowledge-graph']
What are the four essential components of Trava Governance?,0,False,"['In the big picture, there are four essential components in Trava Governance: the Trava community, the DAO Committee, the Security Advisory Board (SAB), and Governance Portal & smart contracts. ']",[],[],['https://docs.trava.finance/governance']
What is the role of the Security Advisory Board (SAB) in Trava Governance?,0,False,['Security Advisory Board: The guardian for the protocol’s security when some malicious actions are aimed at the protocol or in unexpected events. '],[],[],['https://docs.trava.finance/governance']
How does the governance process in Trava DAO work?,0,False,"['The governance process consists of 2 continuous processes: off-chain & on-chain.” Off-chain process: “Anyone in the Trava community can raise their opinions and discuss ideas… by creating TRC - Trava Request for Comments on the Trava Forum… After an idea is well-formed, a community member can follow our template for TIP - Trava Improvement Proposal and post on the forum… The DAO Committee is in charge of the review process and officially proposes on-chain.” On-chain process: “When a TIP is proposed on-chain, it becomes transparent on the public blockchain; anyone possessing voting power can directly vote for or against this proposal… The Security Advisory Board acts as a guardian to prevent malicious actions and security exploits in this process. ']",[],[],['https://docs.trava.finance/governance/dao']
How can users gain governance power in Trava DAO?,0,False,"['To gain governance power, holders need to lock their Trava or rTrava token in exchange for the veTRAVA token, which holds voting power. This vote locking mechanism encourages users who show a solid commitment to the protocol with more governance power and incentive. ']",[],[],['https://docs.trava.finance/governance/dao']
What is veTRAVA?,0,False,"['veTRAVA stands for voting escrow Trava. It is an ERC721 token that acts as evidence of your locking token in the governance module. Every time users create a new lock, they receive a veTRAVA token, storing their locked balance, unlock time, and rewards amount. The longer you lock your tokens, the more voting power you have (and the bigger incentive you can earn). For example, you can vote lock 1,000 TRAVA/rTRAVA for a year to have 250 voting power. Each token locked for four years is equal to 1 voting power. The number of voting power you will receive depends on your locked balance & unlock time.  The minimum locking time is one week, and the maximum locking time is four years. Your voting power gradually decreases as your escrow tokens approach their lock expiry. The graph on Locker UI from Governance Portal illustrates the decrease process. ']",[],[],['https://docs.trava.finance/governance/locker']
What can we do with veTRAVA?,0,False,"['While holding veTRAVA, you can vote for proposals to change the protocol with your voting power and earn rewards from incentive programs. Currently, veTRAVA holders will earn weekly rewards emission in Trava based on their voting power percentage. There will be proposals to enable sharing fees from protocol or boost rewards in the lending pool in the near future to enrich the veTRAVA incentive program. ']",[],[],['https://docs.trava.finance/governance/locker']
Why do we need veTRAVA?,0,False,"['Firstly, veTRAVA represents the vote locking mechanism, which helps the protocol focus on encouraging ones who show strong commitment. Secondly, veTRAVA is designed as an ERC721 token, which opens a future secondary marketplace to avoid the decrease of liquidity on the market because of locking the Trava token. ']",[],[],['https://docs.trava.finance/governance/locker']
How to participate in Governance?,0,False,"['Trava users need to lock their Trava/rTrava for veTRAVA token to participate in the on-chain governance process. Then, after gaining your voting power, go to the Vote UI in the Governance Portal. You can now vote on active proposals, and before that, don’t forget to read its discussion on the forum carefully. ']",[],[],['https://docs.trava.finance/governance/voting']
What is voting power?,0,False,"['The number of voting power you receive from veTRAVA depends on your locked balance & unlock time. The minimum locking time is one week, and the maximum locking time is four years. Your voting power gradually decreases as your escrow tokens approach their lock expiry. The graph on Locker UI from Governance Portal illustrates the decrease process. ']",[],[],['https://docs.trava.finance/governance/voting']
How do veTRAVA holders earn rewards?,0,False,"['veTRAVA holders will start to earn rewards in TRAVA tokens after they lock their tokens in the Trava Governance vault. When users claim their rewards, their voting power will increase. All rewards will be available in the users’ hands after their veTRAVA’s unlock time. ']",[],[],['https://docs.trava.finance/governance/incentive']
What is the purpose of the adaptive rewarding mechanism?,0,False,"['To help stabilize the rewards APR as well as bring more benefits to users, the incentive program for each week might have differences, both for the weekly rewards and the warm-up rewards. Therefore, there will be an announcement every Monday.” “With this new incentive mechanism, Trava aims to incentivize our loyal users as well as maintain stability in the downtrend for the long-term development of the protocol. ']",[],[],['https://docs.trava.finance/governance/incentive']
How to log in to Trava Governance?,0,False,['Step 1: Go to: https://gov.trava.finance/ Click “Login”  Step 2: Put in email address Enter password Click “Login”  '],[],[],['https://docs.trava.finance/user-guide/trava-forum-user-guide']
How to create a discussion topic on Trava Forum?,0,False,['Step 1: Choose the category you would like to discuss   Step 2: Create your discussion  Step 3: See your topic posted on the Forum  Step 4: Tracking your discussions Click the bell button Switch to “Watching” to receive all the related notifications.   '],[],[],['https://docs.trava.finance/user-guide/trava-forum-user-guide']
How to upvote or downvote discussions on Trava Forum?,0,False,['Upvote and Downvote in Trava Forum: Click on the down-ward or upward arrow to show support or disagreement.  Leave a comment on other topic on Trava Forum Choose the topic you would like to comment on Click “Reply”  Put in your comment Click “Submit”  Quote a topic Choose the topic you would like to comment on Click “Quote”  Click “Submit” '],[],[],['https://docs.trava.finance/user-guide/trava-forum-user-guide']
How to lock tokens for veTRAVA?,0,False,"['Select the token you want to lock, input lock amount, and select unlock time to see how many voting power you will have. Create new veTRAVA lock  1. Click Create Lock, a modal will popup.  2. Select the token you want to lock. 3. Input lock amount. 4. Select unlock time (1 week -> 4 years). 5. Click Create Lock. 6. Your wallet notification will appear, you check again the total amount and gas fee. If they are right, click Confirm. ']",[],[],['https://docs.trava.finance/user-guide/trava-dao-user-guide']
How to merge veTRAVA tokens?,0,False,"['1. Select 2 veTRAVA tokens to merge together. veTRAVA with Released status can’t be merged. 2. Claim all claimable rewards of 2 veTRAVA tokens. 3. Click Merge.  4. Recheck your veTRAVA info and click Merge to preview merge result.  5. Click Confirm. 6. Your wallet notification will appear, you check again the total amount and gas fee. If they are right, click Confirm. ']",[],[],['https://docs.trava.finance/user-guide/trava-dao-user-guide']
How to claim rewards from veTRAVA?,0,False,"['1. Click Claim. 2. Your wallet notification will appear, you check again the total amount and gas fee. If they are right, click Confirm. ']",[],[],['https://docs.trava.finance/user-guide/trava-dao-user-guide']
How to withdraw veTRAVA tokens?,0,False,"['1. Claim all your claimable rewards. 2. Your wallet notification will appear, you check again the total amount and gas fee. If they are right, click Confirm. ']",[],[],['https://docs.trava.finance/user-guide/trava-dao-user-guide']
How to increase the locked balance for more voting power?,0,False,"['1. Input the increased amount and see how much voting power you will gain. 2. Click Lock Balance. 3. Your wallet notification will appear, you check again the total amount and gas fee. If they are right, click Confirm. ']",[],[],['https://docs.trava.finance/user-guide/trava-dao-user-guide']
How to increase the unlock time for more voting power?,0,False,"['1. Select the unlock time option to increase and see how much voting power you will gain. 2. Click Lock Time. 3. Your wallet notification will appear, you check again the total amount and gas fee. If they are right, click Confirm. ']",[],[],['https://docs.trava.finance/user-guide/trava-dao-user-guide']
What are the different proposal statuses in Trava Governance?,0,False,"['After being created on-chain, a proposal can have 8 types of statuses: Pending: signals the waiting period before voting, the community can prepare their voting power during this period. Active: signals the voting period, anyone can vote For or Against once for each proposal. Cancel: signals a proposal has been canceled by the SAB or the proposer themselves for some reason. Defeated: signals a defeated proposal. Succeeded: signals a succeeded proposal, which can only occur when the quorum is reached and the For votes surpass the Against votes. Queued: signals the delay process for a proposal to be executed after a successful voting period. Executed: signals all proposal’s actions have been performed correctly. Expired: signals a proposal could not be executed for some reason after the delay process. ']",[],[],['https://docs.trava.finance/user-guide/trava-dao-user-guide']
How to vote on a proposal?,0,False,"['1. Click the proposal’s title or double-click the proposal component in the proposals list.  2. Read thoroughly the proposal’s details and decide to vote For or Against.  3. Click For/Against button depending on your decision.  4. Click Confirm. 5. Your wallet notification will appear, you check again the total amount and gas fee. If they are right, click Confirm.  ']",[],[],['https://docs.trava.finance/user-guide/trava-dao-user-guide']
How to navigate the Fortune Mining interface?,0,False,"['In the main site, you will see the main site as follows. There will be two main sections, including Event, Account, and Calculator, in the upper right corner.   On the Top of the first tab - Event, you can find some basic information: The rewards the winner got from the previous event.  (In the deposit period) The time counting implies the period remaining in the depositing period. (Users need to deposit their tokens in this period to join the program)  (In rewards generating period), the time counting implies the period remaining in the rewards generating period, after this period we will reveal the winner. (In this period, players can not withdraw their tokens)   ']",[],[],['https://docs.trava.finance/user-guide/trava-fortune-mining-user-guide']
How to deposit tokens into the Trava Fortune Mining pool?,0,False,"['To deposit assets in the Trava Fortune mining pool, follow these steps: Step 1. Connect your wallet (on BSC Mainnet) Step 2. Access Fortune Mining. Step 3. Connect your wallet. Step 4. Access the tab “Event”. Step 5. Click the “Deposit” Button.  Step 6. After that, a pop-up window will appear: Click the little down arrow icon and choose the token type you want to deposit Enter the amount you want to deposit Click the “Deposit” button.  Step 7. Check the gas fee Confirm the transaction.   ']",[],[],['https://docs.trava.finance/user-guide/trava-fortune-mining-user-guide']
How to check the number of tickets after depositing?,0,False,"['After depositing tokens into the Fortune Mining pool, users will receive a certain amount that corresponds with the deposit amount (ratio 1:1). (The more they deposit, the more ticket they own): To check the details, Connect your wallet (on BSC Mainnet), then click the tab Account The ticket number will appear as the picture following.  ']",[],[],['https://docs.trava.finance/user-guide/trava-fortune-mining-user-guide']
How to check the rewards you have received?,0,False,"['Step 1. Connect your wallet (on BSC mainnet). Step 2. Go to the tab “Account”. Step 3. Go to the table named “My rewards”. Step 4. Check for the related information: Total rewards in Deposited token and rTRAVA, launching time.  ']",[],[],['https://docs.trava.finance/user-guide/trava-fortune-mining-user-guide']
How to check your chance of winning?,0,False,['Step 1. Connect your wallet (on BSC Mainnet) Step 2. Access tab “Event”. Step 3. Go to the table named “Depositors”. Step 4. Check for the related information: Depositors’ wallet address Their deposit amount Their chance (show in percentage) to win.  '],[],[],['https://docs.trava.finance/user-guide/trava-fortune-mining-user-guide']
How to check past Fortune Mining events?,0,False,"['Step 1. Access tab “Event”. Go to the table named “Past Events” A List of events with their launching time, total rewards, etc. will appear.  Step 3. To check the details, click the name of the events: A Pop-up window will appear, which shows the basic information: start-end time, total deposit, total rewards, winner, etc.   ']",[],[],['https://docs.trava.finance/user-guide/trava-fortune-mining-user-guide']
How to calculate potential rewards using the Calculator?,0,False,"['Besides some critical information above, we also provide an effective tool to estimate the total rewards that you have a chance to win, called Calculator. To use this tool, follow these simple steps: Step 1. Access the tab Calculator  You can see the APY and APR at the time you access this tool. Step 2. Choose the asset you want by: Click the small down arrow icon in the “Asset” Section  After that, a small window will pop up. Choose the token type that you want.  Step 3. Change the variables such as Time lock, the amount you deposit, and Total deposit by clicking the blank and entering the related numbers.  Step 4. Check for some critical information that will help you to make decisions, including the total rewards that a winner can earn and the ROI in case you are the lucky one.  ']",[],[],['https://docs.trava.finance/user-guide/trava-fortune-mining-user-guide']
How to withdraw tokens from Fortune Mining?,0,False,"['After a certain period of stage 2 - generating rewards, users can get back their deposit or keep them in the pool to try their luck the next time. If you want to withdraw the tokens, follow these simple steps: Step 1. Connect your wallet (on BSC Mainnet) Step 2. Go to the tab “Account”. Step 3. Click the “Withdraw” button.  Step 4. Choose the token types you want to withdraw by: Click the little down arrow icon Click the name of the tokens. Step 5. Enter the number of tokens you want to withdraw.  Note: Click the “Max” button to enter all the amount of related tokens deposited. For more details about Fortune Mining, click here:  ']",[],[],['https://docs.trava.finance/user-guide/trava-fortune-mining-user-guide']
How to claim rewards if you win?,0,False,"['In case you are the lucky one and want to claim your rewards, follow these steps: Step 1. Connect your wallet (on BSC Mainnet) Step 2. Access tab Account Step 3. In the “My rewards” section, click the “Claim” button:  Step 4. A small window will pop up Click “Claim” button  Step 5. Confirm your transaction  ']",[],[],['https://docs.trava.finance/user-guide/trava-fortune-mining-user-guide']
How to use BRicher for optimized investment strategies?,0,False,"['BRicher is a unique aggregator that composes multiple investment methods: providing liquidity, swapping, staking, depositing, and borrowing in the lending pools. Based on the methods, BRicher automatically builds up composite strategies so that you can get the most optimized strategies to maximize your profit. Unlike other aggregators, BRicher lets you own your tokens. Thus you can take full control of your tokens and investment plans. BRicher ensures the transparency, clarity, and completeness of the strategy information. We provide all relevant information related to every single step of a composite strategy, and you can easily verify it by yourselves. This article provides readers with a thorough guideline to use BRicher effectively.  Website: https://app.trava.finance/bricher/ BRicher includes three main pages: Home, Strategy Exploring and Portfolio. ']",[],[],['https://docs.trava.finance/user-guide/bricher-user-guide']
How to navigate the BRicher Home page?,0,False,"['The Home page lists the best one-step investment strategies for all tokens supported by BRicher. Information on each strategy, such as its current ROI, ROI history, transaction fee and reward tokens are shown in the table. In addition, you can select a row to get detailed information on the respective strategy. At the right upper corner of the page, you can enter your favorite token to filter strategies. ']",[],[],['https://docs.trava.finance/user-guide/bricher-user-guide']
How to explore high-return investment strategies?,0,False,"['In this section, you can search for high-return investment strategies based on your input tokens. Every time you access this page, BRicher automatically calculates and presents the best strategies to you. Step 1. To use the Strategy Exploring page, you must connect and authenticate your wallet first: - Click the “Connect wallet” button, choose a wallet, enter your password and confirm. - Then click the “Authenticate” button. Step 2. Select the token you prefer to invest in by clicking one option under the line “Select token to invest”.  Step 3. Select “More setting” to filter the recommended strategies  First, you can sort strategies by safety index, ROI, or the number of steps of the strategies.  You can also set the limit for the number of steps used in your strategies. Strategies with a low number of steps are typically safer, but strategies with a high number of steps are usually more profitable.  By default, recommended strategies are automatically composed of all yield farming methods. If you do not like a specific method, please deselect it.  Some vaults/pools offer very high ROI, and they thus dominate the recommended strategies. To explore the other strategies that DO NOT include these vaults/pools, you can add the reward tokens of the vaults/pools to the control.  Step 4. Click the “Make strategies” button  Our algorithm will automatically compute and return appropriate strategies to you. You should pay more attention to the strategy title (which includes names of used DApps), the safety index, the number of steps, and the Return On Investment rate.  ']",[],[],['https://docs.trava.finance/user-guide/bricher-user-guide']
How to invest in a recommended strategy?,0,False,"['After exploring the recommended strategies, if you are interested in a strategy, please click its “Check detail and Invest” button.  BRicher will show general information on the strategy, such as its start and expiration date, reward tokens, estimated gas, ROI history, etc.  BRicher also displays all helpful information on each step. The relevant information is shown depending on the type of method used in the step (staking, depositing, borrowing, providing liquidity pair, swapping). All of them are real-time data collected by BRicher that can save time in making decisions. There are three methods to make a strategy: manual investing, semi-auto investing and auto investing. The basic difference between these three is the level that BRicher supports you to make your investment. Manual Investing: You need to access each DApps to implement each step by yourself. Semi-auto Investing: You only need to stay on the BRicher site, and for each step, you simply click on an “Execute” button.   Auto Investing: All you need to do is click on one button to authorize BRicher to complete the whole process. ']",[],[],['https://docs.trava.finance/user-guide/bricher-user-guide']
How to invest manually?,0,False,"['Step 1. Fill in the amount of capital you want to invest:  Step 2. Click the “Manual invest” button  Once you do that, BRicher will save your strategies so that you can monitor the strategy’s effectiveness (the capital, the interest, the reward token, the ROIs, etc.) You can check the detailed guideline which shows you how to invest step by step as below:  ']",[],[],['https://docs.trava.finance/user-guide/bricher-user-guide']
How to invest using the semi-auto method?,0,False,"['Step 1. Fill in the amount of capital you want to invest  Step 2. Click the “Semi-auto Invest” button  Step 3. A list of steps will appear. You can simply finish the progress by clicking each “Execute” button related to each step.  Notes: If errors occur, there will be pop-up messages and instructions. Users can follow this instruction to continue investing or cancel the investment. Users can only execute one investment strategy at one time. That means they must finish or cancel the previous investing progress if they want to implement the other plans. Users can implement their strategies and quit the page in the middle. We support them in resuming the implementation process. However, there might be changes in prices and other parameters that affect the strategy. ']",[],[],['https://docs.trava.finance/user-guide/bricher-user-guide']
How to invest using the auto-invest method?,0,False,"['Step 1. Fill in the amount of capital you want to invest  Step 2. Click the “Auto Invest” button  After that, a list of steps and gas fee information will appear Make sure you will check all this information Step 3. To make an investment, click the “Approve” button to delegate BRicher to finish the whole progress for you.  Step 4. After approving the progress successfully, click the “Execute” button. Notes:       - After all these steps, you still need to keep track of the progress status:              + The completed step: Turning Green              + Unsuccessful step: Turning yellow as a warning notification. Once that happens, there will be an instruction pop-up window. In this case, you can follow this instruction to continue investing or cancel the whole process.       - Because of the typical requirements of each DApp, there will be some strategies that can not be invested automatically (Only Manual Investing and Semi-auto Investing are available)       - Users can only execute one investment strategy at one time. That means they must finish or cancel the previous investing progress if they want to implement the other plans. Users can implement their strategies and quit the page in the middle. We support them in resuming the implementation process. However, there might be changes in prices and other parameters that affect the strategy. ']",[],[],['https://docs.trava.finance/user-guide/bricher-user-guide']
How to join Trava Pottery?,0,False,"['Trava Pottery Entrance Visit the main site of Trava Pottery: https://pottery.trava.finance/ You will be reminded to connect your wallet if you haven’t. You can select and authorize the wallet you want depending on your preferences, but make sure that it has a BAB token. BAB is a non-transferable token with no monetary value – its main use is to prove that the owner of the wallet has verified their identity. You can check how to mint BAB tokens here.  The main frame of the Trava Pottery looks like this:  Choosing the quiz packages There are quite a few ways for you to choose for yourself a quiz package as desired. First, you can find them right on the main screen, including the most trending ones in the system.  If you’ve answered all of them or don’t see a satisfactory quiz package, you can expand your search by clicking “Explorer” located on the top, or the “View all” button on the right-hand side.  You will then be taken to the quiz collection page as following, where all the live quiz packages will appear, in addition, you can search for a specific package:  Or you can optionally customize your search requirements based on: Status of quiz packages, by clicking on the “Live” or “Finished” button.  Remaining time, by clicking on the “Time Left” button and choosing 1 option.  Reward type, by clicking on the “All Reward” button and choosing 1 option.  Answering the questions From the overall interface of a quiz package, you can get its name, topic, reward, and time left.  After clicking on a satisfactory package and being taken to the following interface, you press the blue “Start” button to start playing:  Then demonstrate your knowledge of the field by answering all questions in the package. After choosing the answer, click “Next” to go to the next question or “Back” to check and change your previous answer. For each of these questions, choose one best answer.  There is also type of questions with multiple answers, and the “Submit” button only lights up when you finish answering all the questions in the package.  Accept the gas fee:  If there’s still time left for the quiz package, you will have to wait before you can claim the reward. During that time, you can join other packages, possibly ones with the same topic.  Receive reward When the quiz packages’ running period has ended, users who have correctly answered all the questions must return to claim the reward WITHIN 1 WEEK, otherwise, it’ll be gone.   ']",[],[],['https://docs.trava.finance/user-guide/trava-pottery-user-guide']
What is the reward mechanism of Trava Pottery?,0,False,"['Vesting Pool This includes 40% of Pottery’s total reward, which you can claim daily (24 hours), with the amount depending on the number of friends you have successfully invited to join Pottery. All you have to do is click on “Vesting Pool” on the Profile page, then the “Claim” button.  Leaderboard At the bottom are the “Leaderboard” section, with time left in the counting period, and FAQ. They will have the following look if you have connected your Wallet:  You can click the “Claim” button to get your reward:  Referral system Basically, its mechanism is that those who invite friends and the friends themselves will receive a reward distributed from the referral fund, which is 10% of the total reward. In addition, the number of referees will have an impact on the percentage of rewards you can claim from the vesting pool, which has been discussed in the previous section. Referring friends Click the “Create code” button on your Profile page, and you will be asked for a gas fee to continue (this is just an example if you use Metamask).  After that you can send the code to your friends – these referees will bring you additional rewards and some other benefits. When they use your code, your friends will appear in the referral list:  As the referee If you are a referee, help the one who referred you and yourself get rewards by entering their address. After pressing “Enter code” button, the following interface will appear:    ']",[],[],['https://docs.trava.finance/user-guide/trava-pottery-user-guide']
How to join veTRAVA Marketplace?,0,False,['Step 1: Visit the main site of veTRAVA Marketplace:  https://nft-app.trava.finance/marketplace/ve-trava.  Step 2: Connect your wallet.      '],[],[],['https://docs.trava.finance/user-guide/vetrava-marketplace-user-guide']
How to buy veTRAVA?,0,False,"['In the main area of veTRAVA Marketplace, you will see sales orders being put up by other members of the community. Each of them is shown with detailed information such as voting power, price, … so that you can choose the one that best suits your requirements.  Customizations You can also set requirements to find exactly what you want to buy: Search for anything, or find a specific veTRAVA Owner and sale ID by clicking “Search All” and then type in what you are looking for:  Sort sales orders in veTRAVA Marketplace by clicking the “Sort by” button.  Filter sales orders by Rank and Price Range you can offer, by clicking the “Filters” button and then customize according to your requirements.  Buying veTRAVA Step 1: Just click on any sale slot:  Step 2: You will be directed to this page, click the “Buy” button:  Step 3: Confirm the money in the transaction and wait for it to be done:        ']",[],[],['https://docs.trava.finance/user-guide/vetrava-marketplace-user-guide']
How to sell veTRAVA?,0,False,"['Step 1: Click the “Create” button on the main site of veTRAVA Marketplace.  Step 2: Choose the amount of veTRAVA you want and click the “Sell” button.  Step 3: Choose between two tokens, TRAVA and BUSD, and then enter the number you want for your veTRAVA.  Step 4: Click the “Sell” button.  Step 5: Confirm your Transaction.  ']",[],[],['https://docs.trava.finance/user-guide/vetrava-marketplace-user-guide']
How reasonable prices of veTRAVA are set?,0,False,"['Exchanging veTRAVA on the veTRAVA marketplace also means exchanging:  Voting power. Initial tokens locked: Buyers will get all token amounts locked in the first place. Total rewards: Buyers will receive total rewards including both weekly rewards and warm-up rewards sellers received during their locking period. That means when selling or buying veTRAVA, you should consider all these factors to set (if you’re a seller) or to choose (if you’re a buyer) a reasonable price.  After clicking on each veTRAVA spot, all this information will be shown as follows:  ']",[],[],['https://docs.trava.finance/user-guide/vetrava-marketplace-user-guide']
How to join in Dilution Staking?,0,False,['Step 1: Visit the main site for Dilution Staking https://nft-app.trava.finance/dilution-staking  Step 2: Connect your wallet  '],[],[],['https://docs.trava.finance/user-guide/dilution-staking-user-guide']
What is Portfolio?,0,False,"['To make it easier for you to track your position and assets, we have added the Portfolio feature.  This feature will display your position in the Lending Pool when you use Smart Wallet to perform actions in the pools in the Trava ecosystem. Or if you create an order to sell Armoury items, Portfolio will display those NFTs for sale, and the amount of money you have in your Smart Wallet from the sale. With more actions and features added in the future, the Portfolio page will also show more user information and details related to the Station.  ']",[],[],['https://docs.trava.finance/trava-station/portfolio']
What is Tramlines for?,0,False,"['Therefore, we would like to introduce Tramlines, a new feature added into Trava Station on October 11, 2023 👉 https://app.trava.finance/station/tramlines. It provides users with common sets of pre-arranged actions to import, which are called Routes. In each route, the name will be displayed, followed by the description, requirements and so on. Tramlines also estimates the amount of gas needed using Trava Station, then compares it to the amount when performing each action separately like normal. After choosing, now you can edit the amount for each factor in Freight according to your needs.  ']",[],[],['https://docs.trava.finance/trava-station/tramlines']
What are the routes in the Tramline?,0,False,"['Tramlines are constantly being improved and we will add more Routes to make your experience more convenient. For now, here are the ones already been released: Borrowing needed assets with TRAVA Using this route, you will only need to choose the needed amounts of TRAVA and assets you want. For the rest, Trava Station will help you complete the middle steps including swapping TRAVA for USDT and depositing into the Lending Pool to borrow wanted assets. Pull TRAVA Swap TRAVA for min USDT Deposit USDT in Trava Lending Pool Borrow USDT from Trava Lending Pool Send USDT Buying NFT Armoury items with BNB With this route, you can use your BNB to buy Armoury items. Actions are already available for you to wrap BNB to WBNB to convert to TRAVA while ensuring the excess amount will not stay in your Smart wallet for safety. Wrap Swap WBNB for min TRAVA Buy armoury in Trava NFT Marketplace Send WBNB Send TRAVA Staking your TRAVA after the NFT Auction. Instead of having to go through the trouble of finalizing your NFT Auction, getting TRAVA, and then moving to the Staking website to do the rest, Trava Station will complete it all for you in just one transaction. With this route, the amount of TRAVA earned from your NFT Auction will be directly staked to Trava Vault in Staking. Finalize your auction on Trava NFT (Coming soon) Stake TRAVA in Trava Staking Send TRAVA action Claiming rTRAVA from Trava Lending Pool to stake to This route includes actions for you to claim rTRAVA rewards from our Lending Pool, then pull that amount of token to Smart Wallet to stake directly into rTrava vault in Trava Staking, without needing to change dApps in between actions. Claim rTRAVA from Trava Lending Pool Pull rTRAVA Stake rTRAVA in Trava Staking Claiming rewards from Trava Lending Pool and Staking This route includes actions for you to claim rTRAVA from our Lending Pool, and TRAVA rewards from vaults belonging to Trava Staking, then send that amount of rTRAVA/TRAVA from Smart Wallet to your original Wallet. Claim rTRAVA from Trava Lending Pool Withdraw rTRAVA in Trava Staking Withdraw BNB/TRAVA in Trava Staking Withdraw TRAVA in Trava Staking Withdraw rTRAVA in Trava Staking Send TRAVA Send rTRAVA Joining Trava Governance with your staked This route will help you get the staked BNB/TRAVA, lock it into Trava Governance, and claim your rewards from the Vault. Trava Station has neatly arranged a process that includes many steps so that you can operate as easily as possible. Withdraw BNB/TRAVA in Trava Staking Create lock on Trava Governance (Coming soon) Claim TRAVA from Trava Staking ']",[],[],['https://docs.trava.finance/trava-station/tramlines']
What is the purpose of Junction?,0,False,"['In Junction, you can set up automated strategies to manage your positions effortlessly. These include automated liquidation protection, leverage management, and position opening or closing. To simplify your decision-making, Junction also provides pre-made options tailored to different needs. Just choose the one that suits you best and activate it in seconds! ']",[],[],['https://docs.trava.finance/trava-station/junction']
What is Smart Wallet and its purpose?,0,False,"['To support the main features of Trava Station, we utilize Smart Wallet, which is a contract that represents the user (their proxy) and lets actions go through. Conditions and access permissions are encoded into these self-executing code, rendering it both secure and adaptable for managing financial resources. When you first join Trava Station, you will be asked to create a Smart Wallet, which will hold your assets during the operations. With Trava Station, it now acts as an intermediary so that the requests of the users can be calculated and fulfilled in one go, making the experience much smoother. In addition, our Smart Wallet can serve as a stay point of your assets when you perform some special actions in the Trava ecosystem. For example, when you create an action with Freight in Trava Station to sell Armoury items, the money won’t immediately go into your Smart Wallet. The NFT will stay there until someone buys it on the Marketplace, at which point the process ends and now your Smart Wallet will hold the money from that sale. Smart Wallet marks a pivotal juncture in our journey, offering heightened security and streamlined accessibility for Trava Station. For more information, you can check out our previous article on this Topic. ']",[],[],['https://docs.trava.finance/trava-station/smart-wallet']
How much should I keep my health factor at to avoid liquidation penalty?,0,False,"['How to avoid being liquidated?  In order to avoid collateral liquidation, you need to maintain your health factor at a safe level. To increase health factor, you can pay back a part of your loans or deposit more assets for your borrowing amount. Among two available options, repaying the loan would increase your health factor more. We mention you should keep your health factor over 2.']",[],[],['https://docs.trava.finance/faq/liquidations']
Can i repay my loan with a different asset?,0,False,"['What type of asset do I repay my loans?  When repaying a loan, the type of asset that you need to repay is in the same asset you borrowed. For example, if you borrow 1 BNB you will pay back 1 BNB plus interest accrued. Another way to pay back the loan is using your collateral. If you want to pay back the loan based on USD price you can borrow any of the available stable coins as USDC, DAI, USDT, etc.']",[],[],['https://docs.trava.finance/faq/borrowing']
When will TRAVA token be fully released?,0,False,"['Circulating supply  TRAVA.FINANCE tokenomics highlight a strong commitment and focus for the long term development. The token release schedule is extended until 2026, with a release curve designed to avoid supply shocks and make the release of tokens gradual over time.']",[],[],['https://docs.trava.finance/whitepaper/tokenomics']
